id,ingredients,ingredients_string,cuisine
18009,"['baking powder', 'eggs', 'all-purpose flour', 'raisins', 'milk', 'white sugar']",baking powder eggs all-purpose flour raisins milk white sugar,A
28583,"['sugar', 'egg yolks', 'corn starch', 'cream of tartar', 'bananas', 'vanilla wafers', 'milk', 'vanilla extract', 'toasted pecans', 'egg whites', 'light rum']",sugar egg yolks corn starch cream of tartar bananas vanilla wafers milk vanilla extract toasted pecans egg whites light rum,A
41580,"['sausage links', 'fennel bulb', 'fronds', 'olive oil', 'cuban peppers', 'onions']",sausage links fennel bulb fronds olive oil cuban peppers onions,E
29752,"['meat cuts', 'file powder', 'smoked sausage', 'okra', 'shrimp', 'andouille sausage', 'water', 'paprika', 'hot sauce', 'garlic cloves', 'browning', 'lump crab meat', 'vegetable oil', 'all-purpose flour', 'freshly ground pepper', 'flat leaf parsley', 'boneless chicken skinless thigh', 'dried thyme', 'white rice', 'yellow onion', 'ham']",meat cuts file powder smoked sausage okra shrimp andouille sausage water paprika hot sauce garlic cloves browning lump crab meat vegetable oil all-purpose flour freshly ground pepper flat leaf parsley boneless chicken skinless thigh dried thyme white rice yellow onion ham,E
35687,"['ground black pepper', 'salt', 'sausage casings', 'leeks', 'parmigiano reggiano cheese', 'cornmeal', 'water', 'extra-virgin olive oil']",ground black pepper salt sausage casings leeks parmigiano reggiano cheese cornmeal water extra-virgin olive oil,E
38527,"['baking powder', 'all-purpose flour', 'peach slices', 'corn starch', 'heavy cream', 'lemon juice', 'unsalted butter', 'salt', 'white sugar']",baking powder all-purpose flour peach slices corn starch heavy cream lemon juice unsalted butter salt white sugar,A
19666,"['grape juice', 'orange', 'white zinfandel']",grape juice orange white zinfandel,E
41217,"['ground ginger', 'white pepper', 'green onions', 'orange juice', 'sugar', 'Sriracha', 'vegetable oil', 'orange zest', 'chicken broth', 'sesame seeds', 'boneless skinless chicken breasts', 'corn starch', 'white vinegar', 'soy sauce', 'large eggs', 'garlic']",ground ginger white pepper green onions orange juice sugar Sriracha vegetable oil orange zest chicken broth sesame seeds boneless skinless chicken breasts corn starch white vinegar soy sauce large eggs garlic,C
28753,"['diced onions', 'taco seasoning mix', 'all-purpose flour', 'chopped cilantro fresh', 'ground cumin', 'ground cinnamon', 'vegetable oil', 'bittersweet chocolate', 'chopped garlic', 'water', 'hot chili powder', 'boneless skinless chicken breast halves', 'shredded Monterey Jack cheese', 'chicken broth', 'Anaheim chile', 'cream cheese', 'dried oregano']",diced onions taco seasoning mix all-purpose flour chopped cilantro fresh ground cumin ground cinnamon vegetable oil bittersweet chocolate chopped garlic water hot chili powder boneless skinless chicken breast halves shredded Monterey Jack cheese chicken broth Anaheim chile cream cheese dried oregano,D
22659,"['eggs', 'cherries', 'dates', 'dark muscovado sugar', 'ground cinnamon', 'mixed spice', 'cake', 'vanilla extract', 'self raising flour', 'sultana', 'rum', 'raisins', 'prunes', 'glace cherries', 'butter', 'port']",eggs cherries dates dark muscovado sugar ground cinnamon mixed spice cake vanilla extract self raising flour sultana rum raisins prunes glace cherries butter port,A
