simple_ingr,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,Cluster
Alcohol,17777.25,0.0,1.9375,0.0,9.615625,3.625,4.125,0.0,0.4375,0.0,0.1605625,0.3125,10.6875,0.0146875,0.34375,7.556875,0.0051875,75.058125,0.2809375,0.0588125,0.6114999999999999,1.0187499999999998,5.25,0.0215625,0.148125,5.4375,13.0625,42.5625,9.9375,0.059375,10.8125,0.009375,0.0205625,0.1875,0.029375,0.13125,2
Alcoholic Beverages,14252.0,0.0,0.0,0.0,2.035,0.0,5.05,0.0,0.0,0.0,0.5950000000000001,0.63,0.0,0.0525,0.4,1.9,0.025,88.7,0.0,0.0,0.0,0.0,9.0,0.0065,0.115,11.0,25.0,60.5,4.5,0.06,0.0,0.015,0.0635,0.0,0.0,0.0,2
Alfalfa Seeds,11001.0,6.0,87.0,6.0,2.1,0.0,14.4,1.9,0.0,0.0,0.481,3.99,0.0,0.126,0.6,0.2,0.076,92.82,0.056,0.409,0.069,0.69,32.0,0.157,0.96,27.0,70.0,79.0,6.0,0.92,8.0,0.0,0.034,8.2,0.02,30.5,2
Animal Fat,4609.0,0.0,0.0,0.0,0.0,95.0,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.874,11.144,39.004,99.5,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.11,0.0,0.0,0.0,0.0,0.6,0.0,3
Apple,9237.5,0.0,0.0,0.0,18.7725,0.0,2.975,0.275,26.25,0.0,0.087,0.2075,0.0,0.02575,0.175,16.884999999999998,0.01425,80.35,0.00875,0.05925,0.03325,0.2,26.5,0.021,0.32,8.0,12.0,208.5,9.5,0.0525,0.0,0.0,0.0425,17.95,0.0175,0.0,2
Apples,9006.0,0.0,14.666666666666666,8.0,30.820000000000004,0.0,8.133333333333335,4.133333333333333,21.666666666666668,0.0,0.3696666666666666,0.4866666666666666,0.0,0.071,0.4333333333333333,25.89333333333333,0.012,67.99666666666667,0.0083333333333333,0.0603333333333333,0.0336666666666666,0.2066666666666666,8.333333333333334,0.083,0.5299999999999999,8.333333333333334,20.0,215.66666666666663,29.33333333333333,0.0966666666666666,1.6666666666666667,0.0,0.0676666666666666,4.166666666666667,0.2533333333333333,1.9333333333333336,2
Applesauce,9019.5,0.0,8.0,5.5,14.38,0.0,2.75,1.15,18.0,0.0,0.078,0.165,0.0,0.026,0.3,12.03,0.0215,85.1,0.0045,0.034,0.019,0.135,3.5,0.0295,0.175,3.0,5.5,74.5,2.0,0.03,0.5,0.0,0.027,1.35,0.1699999999999999,0.55,2
Apricot,9036.0,3.0,189.0,5.0,13.63,0.0,1.0,0.1,6.0,20.0,0.15,0.17,0.0,0.015,0.0,12.79,0.06,85.63,0.186,0.087,0.033,0.45,11.0,0.019,0.1,5.0,5.0,67.0,8.0,0.03,16.0,0.0,0.037,29.7,0.41,1.2,2
Apricots,9025.0,6.333333333333333,1475.6666666666667,38.333333333333336,26.71666666666667,0.0,6.166666666666667,3.633333333333333,38.333333333333336,0.0,1.1946666666666668,1.8333333333333333,0.0,0.0456666666666666,0.8000000000000002,22.49,0.022,69.86666666666666,0.1043333333333333,0.0606666666666666,0.0183333333333333,0.3533333333333333,25.33333333333333,0.1676666666666666,1.1233333333333333,16.333333333333332,35.666666666666664,537.6666666666666,4.666666666666667,0.2333333333333333,124.66666666666669,0.0,0.0836666666666666,4.8,1.94,2.8666666666666667,2
Artichokes,11008.0,0.0,8.0,0.0,11.95,0.0,34.4,5.7,464.0,0.0,1.11,2.89,0.0,0.089,0.2,0.99,0.05,84.08,0.011,0.145,0.079,0.34,21.0,0.127,0.61,42.0,73.0,286.0,60.0,0.4,1.0,0.0,0.081,7.4,0.19,14.8,2
